id,competence_id,category_id,account_id,description,due_date,type,mode,value,installment_number,installment_total,status,recurring_transaction_id
41737b97-92aa-5077-9b68-3980b858ee17,001becca-3103-5baa-8878-af67731ee477,9cf94f02-4b68-5fdb-aa70-f63630cd3bfc,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Kit Churrasco 3/6,2018-01-22,Despesa,parcelado,21.50,3,6,Pago,
5fc91404-fc3e-5125-b18f-b3a5cb7268d3,4c9a638f-f39a-5220-8c34-1b6a73f4b339,9cf94f02-4b68-5fdb-aa70-f63630cd3bfc,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Kit Churrasco 4/6,2018-02-22,Despesa,parcelado,21.50,4,6,Pago,
cdb75a88-1a6e-51d6-9094-ff6e0e3b1285,d5928f55-8f30-5f90-b7bb-250ce97823d1,9cf94f02-4b68-5fdb-aa70-f63630cd3bfc,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Kit Churrasco 5/6,2018-03-22,Despesa,parcelado,21.50,5,6,Pago,
2b30c4d4-78ee-5209-bad5-ffc460688980,a23cc9af-d60a-5ee2-9f31-ed1a4d5536b6,9cf94f02-4b68-5fdb-aa70-f63630cd3bfc,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Kit Churrasco 6/6,2018-04-22,Despesa,parcelado,21.50,6,6,Pago,
919180d9-161d-5c2a-9dd6-80a81c53928e,001becca-3103-5baa-8878-af67731ee477,6a41ef81-6f1a-5ca4-9487-40bec029bf6c,d6ea72ea-be3e-5d90-9703-d1671e512bf7,C&A 3/3,2018-01-25,Despesa,parcelado,66.15,3,3,Pago,
35d8012b-3b7d-5f60-b056-31f2f9184100,001becca-3103-5baa-8878-af67731ee477,ce8c8e21-65a1-5aa7-8fb0-4f20ae98f760,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Centauro 3/3,2018-01-25,Despesa,parcelado,30.00,3,3,Pago,
0a6abbfc-024b-5675-aef0-881cfad6bc50,001becca-3103-5baa-8878-af67731ee477,6a41ef81-6f1a-5ca4-9487-40bec029bf6c,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Privalia 3/4,2018-01-25,Despesa,parcelado,36.24,3,4,Pago,
68d56388-9f67-5481-9cb4-7a49e2bb0b79,4c9a638f-f39a-5220-8c34-1b6a73f4b339,6a41ef81-6f1a-5ca4-9487-40bec029bf6c,d6ea72ea-be3e-5d90-9703-d1671e512bf7,Privalia 4/4,2018-02-25,Despesa,parcelado,36.24,4,4,Pago,
ee2de519-b649-5f55-95e0-7ac59139004f,001becca-3103-5baa-8878-af67731ee477,395210f9-cac7-5973-84bd-8eeff1c3733e,d6ea72ea-be3e-5d90-9703-d1671e512bf7,VIVO 3/6,2018-01-27,Despesa,parcelado,16.50,3,6,Pago,
b7b6b995-7bee-5e01-be0e-59f7df93f3c6,4c9a638f-f39a-5220-8c34-1b6a73f4b339,395210f9-cac7-5973-84bd-8eeff1c3733e,d6ea72ea-be3e-5d90-9703-d1671e512bf7,VIVO 4/6,2018-02-27,Despesa,parcelado,16.50,4,6,Pago,
